iter	Passed	Remaining
0	106	106675
1	108	54021
2	109	36509
3	111	27697
4	112	22430
5	114	18906
6	116	16468
7	117	14585
8	118	13098
9	120	11928
10	122	10985
11	123	10196
12	125	9514
13	126	8931
14	128	8422
15	130	8002
16	132	7640
17	133	7289
18	135	6988
19	136	6710
20	138	6457
21	139	6220
22	141	6011
23	142	5808
24	144	5652
25	146	5491
26	148	5336
27	151	5245
28	152	5105
29	153	4979
30	155	4867
31	157	4759
32	158	4657
33	160	4567
34	162	4484
35	164	4397
36	165	4308
37	166	4221
38	167	4139
39	169	4065
40	170	3993
41	172	3935
42	174	3872
43	175	3814
44	177	3759
45	178	3703
46	179	3649
47	181	3601
48	182	3551
49	184	3503
50	185	3454
51	186	3408
52	188	3366
53	190	3342
54	192	3305
55	193	3267
56	195	3226
57	196	3190
58	197	3152
59	198	3115
60	199	3078
61	201	3043
62	202	3009
63	203	2976
64	205	2953
65	207	2930
66	209	2910
67	210	2884
68	211	2856
69	212	2828
70	214	2804
71	215	2779
72	216	2755
73	218	2730
74	220	2718
75	221	2697
76	223	2683
77	225	2664
78	226	2642
79	227	2620
80	229	2599
81	230	2579
82	231	2554
83	232	2535
84	233	2518
85	236	2515
86	238	2498
87	239	2481
88	240	2464
89	242	2450
90	243	2434
91	245	2421
92	247	2409
93	252	2438
94	255	2436
95	257	2424
96	259	2413
97	266	2454
98	270	2459
99	271	2447
100	273	2433
101	276	2430
102	278	2423
103	280	2419
104	282	2407
105	284	2398
106	286	2391
107	288	2384
108	290	2371
109	291	2359
110	295	2370
111	298	2363
112	299	2351
113	300	2338
114	302	2325
115	303	2314
116	305	2302
117	308	2307
118	311	2303
119	312	2292
120	314	2283
121	316	2275
122	318	2269
123	321	2268
124	324	2274
125	328	2279
126	330	2270
127	332	2266
128	337	2276
129	341	2286
130	345	2292
131	348	2290
132	351	2291
133	355	2296
134	358	2296
135	361	2294
136	362	2284
137	367	2293
138	370	2294
139	372	2288
140	374	2284
141	376	2275
142	379	2275
143	385	2293
144	387	2285
145	390	2285
146	392	2279
147	394	2271
148	398	2276
149	402	2281
150	404	2276
151	407	2270
152	409	2264
153	413	2271
154	415	2265
155	417	2261
156	420	2256
157	421	2248
158	424	2242
159	426	2236
160	429	2237
161	432	2235
162	434	2230
163	436	2225
164	439	2222
165	442	2221
166	446	2228
167	449	2224
168	451	2221
169	453	2215
170	455	2209
171	459	2210
172	461	2206
173	464	2204
174	466	2201
175	468	2195
176	471	2190
177	473	2187
178	476	2186
179	479	2183
180	481	2179
181	483	2173
182	485	2169
183	488	2165
184	490	2160
185	492	2157
186	495	2153
187	497	2148
188	499	2144
189	502	2143
190	506	2143
191	508	2141
192	510	2135
193	513	2131
194	515	2130
195	518	2128
196	521	2126
197	523	2122
198	526	2118
199	528	2115
200	531	2112
201	535	2116
202	537	2111
203	539	2105
204	543	2107
205	546	2104
206	551	2112
207	553	2109
208	556	2107
209	559	2105
210	564	2111
211	567	2108
212	570	2106
213	572	2102
214	575	2099
215	579	2104
216	583	2105
217	585	2099
218	587	2093
219	589	2090
220	595	2097
221	598	2097
222	601	2094
223	603	2089
224	605	2084
225	610	2090
226	613	2090
227	616	2086
228	618	2083
229	621	2080
230	623	2076
231	625	2071
232	627	2064
233	629	2059
234	630	2052
235	632	2046
236	633	2039
237	635	2035
238	637	2028
239	640	2027
240	642	2023
241	644	2017
242	645	2011
243	647	2006
244	649	2000
245	650	1994
246	653	1991
247	655	1986
248	656	1980
249	658	1975
250	660	1969
251	661	1964
252	663	1958
253	664	1951
254	666	1946
255	670	1947
256	672	1943
257	674	1939
258	676	1934
259	678	1929
260	679	1923
261	681	1919
262	684	1917
263	686	1913
264	688	1908
265	689	1903
266	691	1897
267	692	1891
268	694	1886
269	695	1881
270	698	1877
271	705	1887
272	706	1881
273	707	1875
274	709	1870
275	710	1864
276	712	1859
277	714	1855
278	715	1849
279	717	1844
280	718	1839
281	720	1833
282	721	1827
283	722	1821
284	723	1816
285	725	1811
286	726	1805
287	728	1800
288	730	1796
289	731	1790
290	733	1786
291	734	1780
292	735	1775
293	737	1770
294	738	1764
295	739	1759
296	741	1754
297	743	1750
298	744	1745
299	746	1740
300	747	1735
301	748	1730
302	750	1725
303	751	1721
304	753	1716
305	754	1711
306	755	1706
307	757	1703
